# _raj2000,SDSS,_dej2000
19.16886,J011640.52-011140.2,-1.19452
19.20028,J011648.06+003227.2,0.5409
19.26495,J011703.58+000027.4,0.00761
19.3525,J011724.60-010356.0,-1.06558
19.50816,J011801.95+001852.1,0.31447
19.55409,J011812.98-010422.8,-1.07302
19.61359,J011827.26+001707.6,0.28547
19.64226,J011834.14-001341.7,-0.22826
19.63438,J011832.25-011150.4,-1.19734
19.77614,J011906.27+005755.7,0.96549
19.80434,J011913.04-011039.1,-1.17754
19.85396,J011924.95+003734.8,0.62633
19.89629,J011935.11+002801.6,0.46712
20.00204,J012000.49-002827.0,-0.47417
20.06395,J012015.34-002009.0,-0.33584
20.20741,J012049.78-002830.6,-0.47518
20.59906,J012223.77-005230.7,-0.87521
20.64752,J012235.41-003412.3,-0.57011
20.70498,J012249.19+000240.5,0.04461
20.80711,J012313.70-002306.9,-0.38527
20.82084,J012317.00-005421.7,-0.90604
20.88385,J012332.12-001248.2,-0.21339
20.91717,J012340.12+004056.5,0.68237
21.04112,J012409.87+001912.4,0.32014
21.1195,J012428.68+010819.2,1.13868
21.20386,J012448.92+005436.0,0.91002
21.23008,J012455.22+001241.7,0.21159
21.26224,J012502.93+002639.6,0.44435
21.9292,J012743.00-010822.5,-1.13959
338.03021,J223207.25+000213.4,0.03708
337.95782,J223149.87+002649.5,0.4471
22.12627,J012830.30+000014.4,0.00402
337.87009,J223128.82+011053.7,1.18159
22.24817,J012859.56-003342.9,-0.56193
22.24433,J012858.63-005656.3,-0.949
337.69574,J223046.97+010948.0,1.16335
22.43328,J012943.98-011429.1,-1.24142
22.9504,J013148.09+003945.8,0.66274
23.53321,J013407.97-010156.2,-1.03229
24.00065,J013600.15+003948.7,0.66353
335.9317,J222343.61-004343.2,-0.72867
24.36592,J013727.82+004743.7,0.79547
24.46951,J013752.68+010234.8,1.04301
24.66034,J013838.48+004429.4,0.74151
335.18979,J222045.54-010948.2,-1.16339
24.83298,J013919.91+010218.2,1.03839
24.88608,J013932.66+010316.2,1.05451
25.34141,J014121.93+002215.7,0.37104
25.38599,J014132.64+002756.8,0.46578
25.90599,J014337.44+001106.8,0.18524
333.85864,J221526.07+000424.0,0.07334
333.58676,J221420.82+010107.3,1.01871
333.47232,J221353.35+004143.7,0.69549
26.60515,J014625.23-005150.2,-0.86396
333.1991,J221247.78-004136.7,-0.69354
26.86739,J014728.17-004503.1,-0.75088
333.09897,J221223.75-004745.3,-0.79593
333.07242,J221217.38+001605.5,0.2682
27.00795,J014801.90-004909.4,-0.81927
332.97049,J221152.92+000631.4,0.10873
332.95111,J221148.27-003500.2,-0.58341
332.80405,J221112.97-010137.2,-1.02702
332.62003,J221028.80-000118.2,-0.02172
27.79464,J015110.71-010141.1,-1.02808
27.80393,J015112.94-004359.5,-0.73319
331.80759,J220713.82-003554.4,-0.59846
331.73346,J220656.03+011329.7,1.22492
331.36255,J220527.01-003200.4,-0.53345
28.72597,J015454.23+004840.3,0.81121
331.05301,J220412.72-000155.6,-0.03212
28.95967,J015550.32+004319.2,0.72201
331.0076,J220401.82+003504.6,0.58462
29.03756,J015609.01-001615.7,-0.27105
330.81665,J220315.99+003415.9,0.5711
29.2524,J015700.57-000523.4,-0.08985
29.25627,J015701.50-001644.4,-0.27901
29.57778,J015818.66-010257.2,-1.04924
29.67056,J015840.93+003145.1,0.52922
29.71788,J015852.29+003405.8,0.5683
29.9405,J015945.72-003329.9,-0.55832
29.94484,J015946.76-001657.7,-0.28271
30.02029,J020004.87-001644.8,-0.27913
30.03278,J020007.86-010056.0,-1.01558
30.11933,J020028.64-001822.0,-0.30613
30.19115,J020045.87-005429.0,-0.90807
